level,canton,number,abbr_de,abbr_fr,abbr_it,aliases,title_de
federal,,0.941.152,,FASR,FCAS,FASR|FCAS,Abkommen in Form eines Briefwechsels vom 15. April 1988 zwischen der Schweizerischen Eidgenossenschaft und dem Internationalen Währungsfonds über eine Beteiligung der Schweiz an der Erweiterten Strukturanpassungsfazilität
federal,,0.946.293.671.2,SMA,AMFS,AMPS,AMFS|AMPS|SMA,Befristetes Abkommen vom 14. Dezember 2020 zwischen der Schweizerischen Eidgenossenschaft und dem Vereinigten Königreich von Grossbritannien und Nordirland über die Mobilität von Dienstleistungserbringern (mit Anhängen und Briefwechsel)
federal,,0.950.136.7,BFSA,BFSA,BFSA,BFSA,"Abkommen vom 21. Dezember 2023 zwischen der Schweizerischen Eidgenossenschaft und dem Vereinigten Königreich von Grossbritannien und Nordirland über die gegenseitige Anerkennung im Bereich der Finanzdienstleistungen (Berne Financial Services Agreement, BFSA)"
federal,,101,BV,Cst.,Cost.,BV|COST.|CST.,Bundesverfassung der Schweizerischen Eidgenossenschaft vom 18. April 1999
federal,,120,BWIS,LMSI,LMSI,BWIS|LMSI,Bundesgesetz vom 21. März 1997 über Massnahmen zur Wahrung der inneren Sicherheit (BWIS)
federal,,120.4,PSPV,OCSP,OCSP,OCSP|PSPV,Verordnung vom 4. März 2011 über die Personensicherheitsprüfungen (PSPV)
federal,,120.421,PSPV-BK,OCSP-ChF,OCSP-CaF,OCSP-CAF|OCSP-CHF|PSPV-BK,Verordnung der Bundeskanzlei vom 30. November 2011 über die Personensicherheitsprüfungen (PSPV-BK)
federal,,120.422,PSPV-WBF,OCSP-DEFR,OCSP-DEFR,OCSP-DEFR|PSPV-WBF,Verordnung des WBF vom 2. November 2011 über die Personensicherheitsprüfungen (PSPV-WBF)
federal,,120.423,PSPV-VBS,OCSP-DDPS,OCSP-DDPS,OCSP-DDPS|PSPV-VBS,Verordnung des VBS vom 12. März 2012 über die Personensicherheitsprüfungen (PSPV-VBS)
federal,,120.424,PSPV-EDA,OCSP-DFAE,OCSP-DFAE,OCSP-DFAE|PSPV-EDA,Verordnung des EDA vom 14. August 2012 über die Personensicherheitsprüfungen (PSPV-EDA)
federal,,120.425,PSPV-UVEK,OCSP-DETEC,OCSP-DATEC,OCSP-DATEC|OCSP-DETEC|PSPV-UVEK,Verordnung des UVEK vom 15. Februar 2013 über die Personensicherheitsprüfungen (PSPV-UVEK)
federal,,120.426,PSPV-EJPD,OCSP-DFJP,OCSP-DFGP,OCSP-DFGP|OCSP-DFJP|PSPV-EJPD,Verordnung des EJPD vom 26. Juni 2013 über die Personensicherheitsprüfungen (PSPV-EJPD)
federal,,120.427,PSPV-EDI,OCSP-DFI,OCSP-DFI,OCSP-DFI|PSPV-EDI,Verordnung des EDI vom 12. August 2013 über die Personensicherheitsprüfungen (PSPV-EDI)
federal,,120.52,VVMH,OMAH,OMPAH,OMAH|OMPAH|VVMH,Verordnung vom 4. Dezember 2009 über verwaltungspolizeiliche Massnahmen des Bundesamtes für Polizei und über das Informationssystem HOOGAN (VVMH)
federal,,120.72,VSB,OPF,OPCF,OPCF|OPF|VSB,Verordnung vom 24. Juni 2020 über den Schutz von Personen und Gebäuden in Bundesverantwortung (VSB)
federal,,120.73,CyRV,OPCy,OCiber,CYRV|OCIBER|OPCY,"Verordnung vom 27. Mai 2020 über den Schutz vor Cyberrisiken in der Bundesverwaltung (Cyberrisikenverordnung, CyRV)"
federal,,121,NDG,LRens,LAIn,LAIN|LRENS|NDG,"Bundesgesetz vom 25. September 2015 über den Nachrichtendienst (Nachrichtendienstgesetz, NDG) "
federal,,121.1,NDV,ORens,,NDV|ORENS,"Verordnung vom 16. August 2017 über den Nachrichtendienst (Nachrichtendienstverordnung, NDV)"
federal,,121.2,VIS-NDB,OSIS-SRC,OSIME-SIC,OSIME-SIC|OSIS-SRC|VIS-NDB,Verordnung vom 16. August 2017 über die Informations- und Speichersysteme des Nachrichtendienstes des Bundes (VIS-NDB)
federal,,121.3,VAND,OSRens,OVAIn,OSRENS|OVAIN|VAND,Verordnung vom 16. August 2017 über die Aufsicht über die nachrichtendienstlichen Tätigkeiten (VAND)
