level,canton,number,abbr_de,abbr_fr,abbr_it,aliases,title_de
cantonal,FR,431.0.26,,,,,Arrêté relatif à la rémunération des collaborateurs scientifiques et des sous-assistants
cantonal,FR,431.1.12,,,,,Ordonnance limitant le nombre d'admissions à la formation francophone à l'enseignement au secondaire II pour l'année académique 2026/27
cantonal,FR,431.1.13,,,,,Ordonnance concernant la capacité d'accueil et le test d'aptitudes pour le Bachelor of Medicine (BMed) à l'Université de Fribourg pour l'année académique 2026/27
cantonal,FR,431.1.14,,,,,Ordonnance concernant l'admission des candidats et candidates étrangers aux études de médecine à l'Université de Fribourg pour l'année académique 2027/28
cantonal,FR,431.1.15,,,,,Ordonnance limitant le nombre de places d'études au niveau bachelor en sciences du sport et de la motricité à l'Université de Fribourg pour l'année académique 2026/27
cantonal,FR,431.1.16,,,,,Ordonnance limitant le nombre de places d'études en Master of Medicine (MMed) à l'Université de Fribourg pour l'année académique 2027/28
cantonal,FR,431.1.17,,,,,Ordonnance limitant le nombre d'admissions au Master of Arts spécialisé en pédagogie spécialisée: orientation enseignement spécialisé francophone à l'Université de Fribourg pour l'année académique 2023/24
cantonal,FR,431.1.18,,,,,Ordonnance limitant le nombre de places d'études en Master of Medicine (MMed) à l'Université de Fribourg pour l'année académique 2026/27
cantonal,FR,431.1.19,,,,,Ordonnance concernant l'admission des candidats et candidates étrangers aux études de médecine à l'Université de Fribourg pour l'année académique 2026/27
cantonal,FR,431.1.20,,,,,Ordonnance concernant l'admission à la formation à l'enseignement pour le degré primaire pour l'année académique 2026/27
cantonal,FR,432.12.1,,,,,Loi sur la Haute Ecole spécialisée de Suisse occidentale//Fribourg
cantonal,FR,432.12.11,,,,,Règlement d'organisation de la Haute Ecole spécialisée de Suisse occidentale//Fribourg
cantonal,FR,432.12.16,,,,,Ordonnance concernant les taxes et les contributions dues par les étudiants et étudiantes immatriculés à la Haute Ecole spécialisée de Suisse occidentale//Fribourg
cantonal,FR,44.1,,,,,Loi sur les bourses et les prêts d'études
cantonal,FR,44.11,,,,,Règlement sur les bourses et les prêts d'études
cantonal,FR,44.13,,,,,Ordonnance relative aux mesures d'encouragement de la formation par un soutien financier durant la formation dans le domaine des soins infirmiers
cantonal,FR,45.1,,,,,Loi sur la formation des adultes
cantonal,FR,45.11,,,,,Règlement sur la formation des adultes
cantonal,FR,45.12,,,,,Ordonnance relative aux exigences de qualité imposées aux institutions actives dans la formation des adultes et la formation continue à des fins professionnelles
cantonal,FR,460.1,,,,,Loi sur le sport
cantonal,FR,460.11,,,,,Règlement sur le sport
cantonal,FR,464.12,,,,,Ordonnance sur les installations de tir sportif
cantonal,FR,464.16,,,,,Ordonnance sur le subventionnement de piscines
cantonal,FR,480.1,,,,,Loi sur les affaires culturelles
cantonal,FR,480.11,,,,,Règlement sur les affaires culturelles
cantonal,FR,480.21,,,,,Ordonnance relative au patrimoine culturel immatériel
cantonal,FR,481.0.1,,,,,Loi sur les institutions culturelles de l'Etat
cantonal,FR,481.0.14,,,,,Ordonnance relative à la participation de l'Etat au financement de nouvelles institutions culturelles fondées par des tiers
cantonal,FR,481.2.11,,,,,Règlement concernant la Bibliothèque cantonale et universitaire
cantonal,FR,481.3.11,,,,,Ordonnance sur les objectifs et le fonctionnement de la Fondation du château de Gruyères
cantonal,FR,481.4.11,,,,,Ordonnance concernant le Conservatoire
cantonal,FR,481.4.12,,,,,Ordonnance concernant les examens au Conservatoire
cantonal,FR,481.4.16,,,,,Ordonnance fixant les taxes de cours du Conservatoire applicables dès le 1er septembre 2014
cantonal,FR,481.5.11,,,,,Règlement concernant le Musée d'art et d'histoire
cantonal,FR,481.5.15,,,,,Arrêté concernant le Fonds Jean Tinguely–Niki de Saint Phalle
cantonal,FR,481.6.11,,,,,Règlement concernant le Musée d'histoire naturelle
cantonal,FR,482.1,,,,,Loi sur la protection des biens culturels
cantonal,FR,482.11,,,,,Règlement d'exécution de la loi sur la protection des biens culturels
cantonal,FR,482.13,,,,,Ordonnance fixant le tarif des émoluments dans les domaines de la protection des biens culturels et de l'archéologie
cantonal,FR,482.42,,,,,Arrêté instituant une commission du recensement du patrimoine artistique
cantonal,FR,482.43,,,,,Arrêté relatif à la conservation du patrimoine architectural alpestre
cantonal,FR,482.44,,,,,Arrêté instituant une commission du recensement des chalets d'alpage
cantonal,FR,511.52,,,,,Arrêté concernant l'attribution des compétences en matière de sanctions disciplinaires militaires
cantonal,FR,513.11,,,,,Ordonnance concernant la taxe d'exemption de l'obligation de servir
cantonal,FR,514.2,,,,,Loi sur la subvention des exercices de tir
cantonal,FR,514.21,,,,,Arrêté sur l'aide financière accordée aux sociétés de tir
cantonal,FR,52.1,,,,,Loi sur la protection civile
cantonal,FR,52.11,,,,,Règlement sur la protection civile
cantonal,FR,52.2,,,,,Loi sur la protection de la population
cantonal,FR,52.22,,,,,Ordonnance sur la formation et les exercices des organes de la protection de la population
cantonal,FR,52.23,,,,,Ordonnance sur la coordination et la collaboration dans le domaine de la protection de la population (analyse des risques et prévention)
cantonal,FR,52.24,,,,,Ordonnance sur la communication en cas d'événement extraordinaire
cantonal,FR,550.12,,,,,Ordonnance sur les mesures visant au maintien de la sûreté intérieure et sur le renseignement
cantonal,FR,551.1,,,,,Loi sur la Police cantonale
cantonal,FR,551.12,,,,,Ordonnance instituant un Conseil cantonal de prévention et de sécurité
cantonal,FR,551.13,,,,,Ordonnance concernant l'avancement et la promotion des agents et agentes de la Police cantonale
cantonal,FR,551.14,,,,,Ordonnance sur le statut des aspirants et aspirantes de police et des policiers et policières en formation
cantonal,FR,551.15,,,,,Ordonnance relative à la gestion des menaces
cantonal,FR,551.17,,,,,Ordonnance concernant les profils d'ADN
cantonal,FR,551.181,,,,,Directives DSJ sur la durée de conservation et l'élimination des données de police
cantonal,FR,551.21,,,,,Décret fixant l'effectif des agents et agentes de la Police cantonale
cantonal,FR,551.23,,,,,Ordonnance sur les agents et agentes auxiliaires de la Police cantonale
cantonal,FR,551.24,,,,,"Règlement concernant l'habillement, l'équipement et l'armement des agents de la Police cantonale"
cantonal,FR,551.32,,,,,Ordonnance relative à l'indemnité de service versée aux agents et agentes de police
cantonal,FR,551.34,,,,,Ordonnance concernant les indemnités pour l'achat et l'entretien de chiens de police
cantonal,FR,551.41,,,,,Ordonnance sur la surveillance de la correspondance par poste et télécommunication en cas de recherche de personnes condamnées
cantonal,FR,551.61,,,,,Ordonnance concernant les frais de la Police cantonale
cantonal,FR,551.78,,,,,Arrêté relatif à la participation de l'Etat aux frais de l'assurance-maladie des agents de la force publique (régime transitoire)
cantonal,FR,559.61,,,,,Arrêté d'exécution du concordat sur les entreprises de sécurité
cantonal,FR,559.7,,,,,Loi portant adhésion du canton de Fribourg au concordat instituant des mesures contre la violence lors de manifestations sportives
cantonal,FR,559.72,,,,,Ordonnance organisant les mesures pour lutter contre la violence lors de manifestations sportives
cantonal,FR,610.1,,,,,Loi sur les finances de l'Etat
cantonal,FR,610.11,,,,,Règlement d'exécution de la loi sur les finances de l'Etat
cantonal,FR,610.16,,,,,Ordonnance sur les modalités de perception des créances de l'Etat
cantonal,FR,612.21,,,,,Ordonnance précisant certains montants liés aux derniers comptes de l'Etat
cantonal,FR,612.81,,,,,Arrêté relatif à la vérification des comptes des institutions de droit public
cantonal,FR,613.1,,,,,Loi adaptant certaines dispositions de la législation cantonale à la réforme de la péréquation financière et de la répartition des tâches entre la Confédération et les cantons
cantonal,FR,614.32,,,,,Tarif des honoraires perçus par l'Inspection des finances
cantonal,FR,616.1,,,,,Loi sur les subventions
cantonal,FR,616.11,,,,,Règlement sur les subventions
cantonal,FR,616.12,,,,,Ordonnance relative à diverses subventions de moindre importance
cantonal,FR,631.1,,,,,Loi sur les impôts cantonaux directs
cantonal,FR,631.12,,,,,Loi fixant le coefficient annuel des impôts cantonaux directs de la période fiscale 2026
cantonal,FR,631.13,,,,,Ordonnance concernant l'échéance et la perception des créances fiscales
cantonal,FR,631.131,,,,,Ordonnance DFIN relative à la perception des créances fiscales
cantonal,FR,631.14,,,,,Ordonnance concernant la consultation des registres de l'impôt
cantonal,FR,631.15,,,,,Ordonnance concernant le dépôt par voie électronique de la déclaration fiscale des personnes physiques
cantonal,FR,631.16,,,,,Tarif des émoluments du Service cantonal des contributions
cantonal,FR,631.2,,,,,Loi sur la mise en œuvre de la réforme fiscale
cantonal,FR,631.21,,,,,Ordonnance sur la mise en œuvre de la réforme fiscale
cantonal,FR,631.31,,,,,Arrêté sur l'imposition d'après la dépense
cantonal,FR,631.32,,,,,Ordonnance relative à la perception de l'impôt à la source
cantonal,FR,631.33,,,,,Arrêté concernant l'imposition des immeubles non agricoles
cantonal,FR,631.36,,,,,Arrêté concernant l'imposition de la valeur locative du logement agricole
cantonal,FR,631.38,,,,,Arrêté sur l'inventaire fiscal au décès
cantonal,FR,631.411,,,,,Ordonnance DFIN sur la déduction des frais professionnels des personnes exerçant une activité lucrative dépendante
cantonal,FR,631.421,,,,,Ordonnance DFIN sur la déduction des frais relatifs aux immeubles privés ainsi que des investissements destinés à économiser l'énergie et à ménager l'environnement
cantonal,FR,631.48,,,,,Ordonnance concernant la déduction des primes d'assurance-maladie et accidents
cantonal,FR,631.62,,,,,Ordonnance déterminant les incidences fiscales de la mise en place du Réseau hospitalier fribourgeois
cantonal,FR,632.1,,,,,Loi sur les impôts communaux
cantonal,FR,634.1.11,,,,,Arrêté d'exécution de la loi fédérale sur l'impôt fédéral direct
cantonal,FR,634.2.11,,,,,Ordonnance d'exécution de la loi fédérale sur l'impôt anticipé
cantonal,FR,635.1.1,,,,,Loi sur les droits de mutation et les droits sur les gages immobiliers
cantonal,FR,635.1.11,,,,,Arrêté sur les droits de mutation et les droits sur les gages immobiliers
cantonal,FR,635.2.1,,,,,Loi sur l'impôt sur les successions et les donations
cantonal,FR,635.2.11,,,,,Ordonnance sur l'impôt sur les successions et les donations
cantonal,FR,635.2.14,,,,,Ordonnance concernant la déduction des dettes pour le calcul de l'impôt sur les successions
cantonal,FR,635.2.15,,,,,Ordonnance concernant la déduction des frais funéraires pour le calcul de l'impôt sur les successions
cantonal,FR,635.4.1,,,,,Loi sur l'imposition des véhicules automobiles et des remorques
cantonal,FR,635.4.13,,,,,Ordonnance fixant les conditions d'exonération de l'impôt sur les véhicules automobiles et les remorques
cantonal,FR,635.4.2,,,,,Loi sur l'imposition des bateaux
cantonal,FR,635.6.1,,,,,Loi sur l'impôt destiné à compenser la diminution de l'aire agricole
cantonal,FR,635.6.12,,,,,Règlement concernant l'organe d'estimation en matière d'impôt destiné à compenser la diminution de l'aire agricole et en matière de droits de mutation
cantonal,FR,637.21,,,,,Ordonnance d'exécution de l'ordonnance fédérale relative à l'imputation forfaitaire d'impôts
cantonal,FR,710.1,,,,,Loi sur l'aménagement du territoire et les constructions
cantonal,FR,710.11,,,,,Règlement d'exécution de la loi sur l'aménagement du territoire et les constructions
cantonal,FR,710.12,,,,,"Arrêté désignant les associations cantonales, non affiliées à une association d'importance nationale, habilitées à former opposition et recours"
cantonal,FR,710.16,,,,,Ordonnance fixant le tarif des émoluments et des frais de procédure dans le domaine de l'aménagement du territoire et des constructions
cantonal,FR,710.2,,,,,Décret fixant les principes généraux et les objectifs en matière d'aménagement du territoire
cantonal,FR,710.31,,,,,Ordonnance portant adoption du plan directeur cantonal
cantonal,FR,710.61,,,,,Ordonnance relative aux garanties financières à fournir pour les exploitations de matériaux et les décharges
cantonal,FR,712.11,,,,,Ordonnance d'application de la législation fédérale sur les résidences secondaires
cantonal,FR,721.0.1,,,,,Loi sur la protection de la nature et du paysage
cantonal,FR,721.0.11,,,,,Règlement sur la protection de la nature et du paysage
cantonal,FR,721.0.16,,,,,Ordonnance fixant les émoluments du Service des forêts et de la nature
cantonal,FR,721.1.11,,,,,Arrêté concernant la protection de la faune et de la flore fribourgeoise
cantonal,FR,721.1.21,,,,,Arrêté relatif à la protection des escargots
cantonal,FR,721.1.31,,,,,Ordonnance concernant la lutte contre la propagation du frelon asiatique à pattes jaunes
cantonal,FR,721.1.52,,,,,"Ordonnance concernant la réserve mycologique La Chanéaz, sur le territoire de la commune de Montagny, forêt domaniale de la Chanéaz"
cantonal,FR,721.1.53,,,,,"Arrêté concernant la réserve mycologique Moosboden, sur le territoire de la commune de Cerniat, forêt domaniale du Höllbach"
cantonal,FR,721.2.31,,,,,Règlement concernant la réserve naturelle du lac de Pérolles
cantonal,FR,721.2.51,,,,,Règlement concernant la protection de la réserve du Vanil-Noir
cantonal,FR,721.3.12,,,,,"Arrêté concernant la réserve forestière des Vanils du Paradis et de la Fayère, sur le territoire de la commune d'Estavannens"
cantonal,FR,721.3.13,,,,,"Ordonnance concernant la réserve forestière de La Souche, sur le territoire de la commune d'Arconciel"
cantonal,FR,721.3.14,,,,,"Ordonnance concernant la réserve forestière En Biffé, sur le territoire des communes de Botterens, Châtel-sur-Montsalvens et Villarbeney"
cantonal,FR,721.3.15,,,,,"Ordonnance concernant la réserve forestière En Allières, sur le territoire de la commune de Hauteville"
cantonal,FR,721.3.16,,,,,"Ordonnance concernant la réserve forestière La Leyte–Motélon, sur le territoire de la commune de Charmey"
cantonal,FR,721.3.17,,,,,"Ordonnance concernant la réserve forestière Grand-Paine–Auta-Chia, sur le territoire de la commune de Cerniat"
cantonal,FR,721.3.18,,,,,"Ordonnance concernant la réserve forestière Galm Sud, sur le territoire des communes de Gurmels et de Jeuss et sur celui du Staatswald Galm"
cantonal,FR,721.3.19,,,,,"Ordonnance concernant la réserve forestière Tannholz–Remlitswilholz, sur le territoire de la commune de St. Ursen"
cantonal,FR,721.3.20,,,,,"Ordonnance concernant la réserve forestière des îles de Villeneuve, sur le territoire de la commune de Villeneuve"
cantonal,FR,721.3.21,,,,,"Ordonnance concernant la réserve forestière du Lapé, sur le territoire de la commune de Charmey"
cantonal,FR,721.3.22,,,,,"Ordonnance concernant la réserve forestière Les Preises–Le Barlattey–Goille-au-Cerf, sur le territoire de la commune de Châtel-Saint-Denis"
cantonal,FR,721.3.23,,,,,"Ordonnance concernant la réserve forestière Les Marais-de-Courtes-Poses, sur le territoire de la commune de Vuissens"
cantonal,FR,721.3.24,,,,,"Ordonnance concernant la réserve forestière Petite-Sarine, sur le territoire des communes d'Arconciel, de Rossens et de Treyvaux"
cantonal,FR,721.3.25,,,,,"Ordonnance concernant la réserve forestière de l'Hongrin, sur le territoire de la commune de Haut-Intyamon"
cantonal,FR,721.3.26,,,,,"Ordonnance concernant la réserve forestière Seiseflüe, sur le territoire des communes d'Ueberstorf, Heitenried et St. Antoni"
cantonal,FR,721.3.27,,,,,"Ordonnance concernant la réserve forestière Naturwaud Seiseflüe 2, sur le territoire des communes d'Alterswil et St. Antoni"
cantonal,FR,721.3.28,,,,,"Ordonnance concernant la réserve forestière Le Pralet, sur le territoire de la commune de Val-de-Charmey"
cantonal,FR,721.3.29,,,,,"Ordonnance concernant la réserve forestière spéciale Joux de Laisse, sur le territoire de la commune de Val-de-Charmey"
cantonal,FR,721.3.30,,,,,"Ordonnance concernant la réserve forestière Paccot-Caquerette, sur le territoire de la commune de Châtel-Saint-Denis"
cantonal,FR,721.3.31,,,,,"Ordonnance concernant la réserve forestière spéciale St. Ursenvorschis, sur le territoire de la commune de Planfayon"
cantonal,FR,721.3.32,,,,,"Ordonnance concernant la réserve forestière Spittel- und Chänel-Gantrisch, sur le territoire de la commune de Plaffeien"
cantonal,FR,721.3.33,,,,,"Ordonnance concernant la réserve forestière spéciale Tourbière du Niremont, sur le territoire de la commune de Semsales"
cantonal,FR,721.3.34,,,,,"Ordonnance concernant la réserve forestière spéciale Les Grèves de la Corbière, sur le territoire de la commune d'Estavayer"
cantonal,FR,721.3.35,,,,,Ordonnance concernant la réserve forestière Cheyres-Font
cantonal,FR,721.3.36,,,,,Ordonnance concernant la réserve forestière Breccaschlund
cantonal,FR,721.3.37,,,,,Ordonnance concernant la réserve forestière spéciale Chablais de Sugiez
cantonal,FR,721.3.38,,,,,Ordonnance concernant la réserve forestière spéciale La Patta
cantonal,FR,721.3.39,,,,,Ordonnance concernant la réserve forestière Les Planeys
cantonal,FR,721.3.40,,,,,Ordonnance concernant la réserve forestière du Bois des Combes
cantonal,FR,721.3.41,,,,,Ordonnance concernant la réserve forestière Le Canada
cantonal,FR,721.3.42,,,,,Ordonnance concernant la réserve forestière La Crêta
cantonal,FR,725.1,,,,,Loi sur la protection des animaux
cantonal,FR,725.11,,,,,Règlement sur la protection des animaux
cantonal,FR,725.3,,,,,Loi sur la détention des chiens
cantonal,FR,725.31,,,,,Règlement sur la détention des chiens
cantonal,FR,731.3.1,,,,,Loi sur la défense incendie et les secours
cantonal,FR,731.3.11,,,,,Règlement sur la défense incendie et les secours
cantonal,FR,731.3.12,,,,,Tarif des frais d'intervention des sapeurs-pompiers
cantonal,FR,732.1.1,,,,,"Loi sur l'assurance immobilière, la prévention et les secours en matière de feu et d'éléments naturels"
cantonal,FR,732.1.11,,,,,"Règlement sur l'assurance immobilière, la prévention et les secours en matière de feu et d'éléments naturels"
cantonal,FR,732.2.1,,,,,Loi sur l'assurance obligatoire du mobilier contre l'incendie
cantonal,FR,732.2.11,,,,,Règlement d'exécution de la loi du 3 février 1966 sur l'assurance obligatoire du mobilier contre l'incendie
cantonal,FR,741.16,,,,,Tarif concernant l'utilisation des canalisations des routes cantonales pour l'évacuation des eaux
cantonal,FR,741.17,,,,,Ordonnance déléguant à la commune de Fribourg des compétences en matière d'infrastructure de mobilité
cantonal,FR,741.22,,,,,Ordonnance concernant le personnel d'entretien des routes
cantonal,FR,741.62,,,,,Décret relatif à l'application de l'article 66 de la loi du 15 décembre 1967 sur les routes (subventions)
cantonal,FR,750.1,,,,,Loi sur le domaine public
cantonal,FR,750.21,,,,,Arrêté concernant l'utilisation du domaine public ou privé de l'Etat en vue de la construction de maisons de vacances
cantonal,FR,753.12,,,,,Arrêté concernant l'utilisation des rives des lacs par les particuliers
cantonal,FR,753.31,,,,,Arrêté instaurant des mesures concernant les maisons de vacances sur le domaine public et privé de l'Etat au bord du lac de Neuchâtel
cantonal,FR,753.72,,,,,"Ordonnance interdisant la navigation, la baignade et la plongée dans le lac des Joncs"
cantonal,FR,76.1,,,,,Loi sur l'expropriation
cantonal,FR,76.16,,,,,Tarif des frais de procédure en matière d'expropriation
cantonal,FR,76.17,,,,,Tarif des dépens en matière d'expropriation
cantonal,FR,76.61,,,,,Arrêté relatif à l'exécution de la loi fédérale du 20 juin 1930 sur l'expropriation
cantonal,FR,770.1,,,,,Loi sur l'énergie
cantonal,FR,770.11,,,,,Règlement sur l'énergie
cantonal,FR,770.12,,,,,Ordonnance pour une subvention en faveur de mesures d'optimisation énergétique
cantonal,FR,770.21,,,,,Ordonnance relative au plan sectoriel de l'énergie
cantonal,FR,770.32,,,,,Ordonnance sur le contrôle obligatoire des installations de combustion
cantonal,FR,770.4,,,,,Loi instituant un Fonds cantonal de l'énergie
cantonal,FR,772.0.2,,,,,Loi sur l'approvisionnement en énergie électrique
cantonal,FR,772.0.21,,,,,Règlement sur l'approvisionnement en énergie électrique
cantonal,FR,772.1.1,,,,,Loi sur le statut des Entreprises électriques fribourgeoises et de leur Caisse de pensions
cantonal,FR,773.11,,,,,Arrêté pour l'exécution de la loi fédérale sur l'utilisation des forces hydrauliques
cantonal,FR,775.2.11,,,,,Arrêté sur les installations de transport par conduites de combustibles ou carburants liquides ou gazeux non soumises à concession fédérale
cantonal,FR,775.2.12,,,,,Arrêté désignant l'organe de contrôle technique des installations de transport par conduites du gaz naturel non soumises à concession fédérale
cantonal,FR,780.1,,,,,Loi sur la mobilité
cantonal,FR,780.11,,,,,Règlement sur la mobilité
cantonal,FR,780.31,,,,,Ordonnance portant adoption du plan cantonal des transports
cantonal,FR,780.32,,,,,Ordonnance portant adoption de modifications du plan cantonal des transports
cantonal,FR,781.1,,,,,Loi d'application de la législation fédérale sur la circulation routière
cantonal,FR,781.11,,,,,Arrêté d'exécution de la loi d'application de la législation fédérale sur la circulation routière
cantonal,FR,781.16,,,,,Arrêté fixant les émoluments en matière de circulation routière
cantonal,FR,781.31,,,,,Arrêté concernant l'emploi de véhicules à moteur hors des routes
cantonal,FR,781.51,,,,,Ordonnance concernant l'assurance responsabilité civile pour les cyclomoteurs
cantonal,FR,781.72,,,,,Ordonnance concernant les moniteurs et les écoles de conduite
cantonal,FR,781.82,,,,,Ordonnance concernant les marchandises dangereuses transportées par route
cantonal,FR,782.5,,,,,Décret concernant la constitution de la Compagnie des chemins de fer fribourgeois
cantonal,FR,785.1,,,,,Loi d'application de la législation fédérale sur la navigation intérieure
cantonal,FR,785.13,,,,,Arrêté concernant la navigation sur les cours d'eau
cantonal,FR,785.16,,,,,Arrêté fixant les émoluments en matière de navigation
cantonal,FR,785.17,,,,,Ordonnance sur l'obligation de déclaration et de nettoyage des bateaux
cantonal,FR,785.21,,,,,Arrêté limitant et interdisant la navigation sur certains lacs
cantonal,FR,786.11,,,,,Arrêté sur la navigation aérienne
cantonal,FR,786.12,,,,,Ordonnance sur les aéronefs sans occupants d'un poids inférieur à 30 kg
cantonal,FR,810.13,,,,,Ordonnance sur les produits chimiques
cantonal,FR,810.14,,,,,Arrêté d'exécution de dispositions fédérales sur la protection contre les accidents majeurs
cantonal,FR,810.15,,,,,Ordonnance sur les études d'impact sur l'environnement et les procédures décisives
cantonal,FR,810.16,,,,,Ordonnance fixant les émoluments du Service de l'environnement
cantonal,FR,810.2,,,,,Loi sur la gestion des déchets
cantonal,FR,810.21,,,,,Règlement sur la gestion des déchets
cantonal,FR,810.22,,,,,Arrêté approuvant le plan cantonal de gestion des déchets
cantonal,FR,810.23,,,,,Arrêté modifiant le plan cantonal de gestion des déchets
cantonal,FR,810.24,,,,,Ordonnance modifiant le plan cantonal de gestion des déchets
cantonal,FR,810.25,,,,,Ordonnance portant adoption de la modification partielle du plan de gestion des déchets (chapitre «Décharges de type B»)
cantonal,FR,810.3,,,,,Loi sur les sites pollués
cantonal,FR,810.31,,,,,Règlement sur les sites pollués
cantonal,FR,811.11,,,,,Ordonnance sur la protection des sols
cantonal,FR,812.1,,,,,Loi sur les eaux
cantonal,FR,812.11,,,,,Règlement sur les eaux
cantonal,FR,813.11,,,,,Arrêté d'exécution de dispositions fédérales sur la protection de l'air
cantonal,FR,813.12,,,,,Ordonnance portant adoption du plan de mesures pour la protection de l'air
cantonal,FR,813.21,,,,,Ordonnance sur le smog hivernal
cantonal,FR,814.11,,,,,Ordonnance sur la protection contre le bruit et les dangers liés au son
cantonal,FR,815.1,,,,,Loi sur le climat
cantonal,FR,815.11,,,,,Règlement sur le climat
cantonal,FR,815.13,,,,,Ordonnance pour une subvention en faveur des actions énergétiques des communes
cantonal,FR,815.14,,,,,Ordonnance pour soutenir l'action communale en faveur des projets d'adaptation aux fortes chaleurs
cantonal,FR,815.15,,,,,Ordonnance sur les contributions pour les mesures du Plan Climat cantonal dans l'agriculture
cantonal,FR,820.2,,,,,Loi sur les prestations médico-sociales
cantonal,FR,820.21,,,,,Règlement sur les prestations médico-sociales
cantonal,FR,820.6,,,,,Loi d'application de la loi fédérale sur le nouveau régime de financement des soins
cantonal,FR,820.61,,,,,Ordonnance sur le nouveau régime de financement des soins
cantonal,FR,820.62,,,,,Ordonnance fixant la part cantonale aux coûts des prestations de soins aigus et de transition pour l'année 2026
cantonal,FR,821.0.1,,,,,Loi sur la santé
cantonal,FR,821.0.11,,,,,Règlement concernant la promotion de la santé et la prévention
cantonal,FR,821.0.12,,,,,Ordonnance concernant les fournisseurs de soins
cantonal,FR,821.0.13,,,,,Ordonnance sur le Conseil de santé
cantonal,FR,821.0.14,,,,,Ordonnance concernant la procédure à suivre en matière d'interruption non punissable de grossesse
cantonal,FR,821.0.15,,,,,Ordonnance concernant la protection contre la fumée passive
cantonal,FR,821.0.16,,,,,Ordonnance sur la Commission de surveillance des professions de la santé et des droits des patients et patientes
cantonal,FR,821.0.17,,,,,Règlement sur les services d'ambulance et les transports de patients et patientes
cantonal,FR,821.0.18,,,,,Ordonnance concernant les mesures sanitaires d'urgence en cas de catastrophe restreinte (ORCAF restreinte) à appliquer dans le cadre des hôpitaux du canton de Fribourg
cantonal,FR,821.0.19,,,,,Ordonnance concernant l'obligation d'annoncer les défibrillateurs externes automatiques
cantonal,FR,821.0.31,,,,,Ordonnance sur l'Organe de conduite sanitaire
cantonal,FR,821.0.32,,,,,Ordonnance sur le groupe d'intervention sanitaire
cantonal,FR,821.0.41,,,,,Ordonnance sur la Centrale 144 d'appels d'urgence sanitaire
cantonal,FR,821.0.51,,,,,Ordonnance concernant la mise en service d'équipements techniques lourds et d'autres équipements de médecine de pointe
cantonal,FR,821.0.61,,,,,Ordonnance fixant le tarif des émoluments relatifs à l'application de la loi sur la santé
cantonal,FR,821.0.81,,,,,Ordonnance sur la médecine scolaire
cantonal,FR,821.10.51,,,,,Arrêté approuvant la convention intercantonale concernant la formation aux professions de la santé (professions médicales exceptées) et son financement ainsi que ses annexes
cantonal,FR,821.11.1,,,,,Loi sur l'encouragement de la formation dans le domaine des soins
cantonal,FR,821.11.11,,,,,Ordonnance sur l'encouragement de la formation dans le domaine des soins
cantonal,FR,821.17.42,,,,,Arrêté concernant la reconnaissance des écoles suisses de pédicures
cantonal,FR,821.20.21,,,,,Ordonnance sur les produits thérapeutiques
cantonal,FR,821.20.211,,,,,Ordonnance DSAS concernant l'utilisation professionnelle de médicaments
cantonal,FR,821.22.11,,,,,Ordonnance sur les stupéfiants
cantonal,FR,821.30.1,,,,,Loi sur la sécurité alimentaire
cantonal,FR,821.30.11,,,,,Règlement sur la sécurité alimentaire
cantonal,FR,821.30.131,,,,,Ordonnance DIAF sur le personnel auxiliaire du Service de la sécurité alimentaire et des affaires vétérinaires
cantonal,FR,821.30.16,,,,,Ordonnance fixant le tarif des frais du Service de la sécurité alimentaire et des affaires vétérinaires
cantonal,FR,821.31.12,,,,,Ordonnance concernant le personnel du contrôle de l'abattage des animaux et de l'hygiène des viandes
cantonal,FR,821.31.16,,,,,Ordonnance sur la fixation des émoluments et des débours pour le contrôle de l'abattage des animaux et des viandes
cantonal,FR,821.32.1,,,,,Loi sur l'eau potable
cantonal,FR,821.32.11,,,,,Règlement sur l'eau potable
cantonal,FR,821.40.11,,,,,Loi approuvant les mesures urgentes du Conseil d'Etat visant à surmonter l'épidémie de COVID-19
cantonal,FR,821.40.76,,,,,Ordonnance complémentaire sur les indemnités pour cas de rigueur accordées aux entreprises individuelles dans les cas de cessation d'activité
cantonal,FR,821.41.11,,,,,Arrêté sur la lutte contre les maladies transmissibles et autres mesures de police sanitaire
cantonal,FR,821.41.12,,,,,Arrêté relatif à la fusion du laboratoire de l'hôpital fribourgeois et de l'Institut cantonal d'hygiène et de microbiologie
cantonal,FR,821.44.1,,,,,Loi sur la lutte contre l'alcoolisme
cantonal,FR,821.44.12,,,,,Arrêté concernant la prévention de l'alcoolisme et des autres toxicomanies
cantonal,FR,821.44.22,,,,,Ordonnance sur la Commission cantonale des addictions
cantonal,FR,821.44.32,,,,,Arrêté instituant un Fonds de recherche en matière d'affections psychiques et de toxicodépendances
cantonal,FR,821.44.4,,,,,Loi instituant un fonds pour la lutte contre les toxicomanies
cantonal,FR,821.44.41,,,,,Ordonnance sur l'utilisation du fonds pour la lutte contre les toxicomanies
cantonal,FR,821.45.112,,,,,Ordonnance DSAS concernant les vaccinations par les pharmaciens et pharmaciennes
cantonal,FR,821.45.21,,,,,Ordonnance concernant la vaccination contre le papillomavirus humain
cantonal,FR,821.5.11,,,,,Arrêté sur les sépultures
cantonal,FR,822.0.1,,,,,Loi sur l'hôpital fribourgeois
cantonal,FR,822.0.21,,,,,Ordonnance fixant la liste des hôpitaux et des maisons de naissance
